x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;y
32.7;20.8;25.54;85.82;55;97;321;43.6;9.7;1.25;4740.12;4783.45
32.4;20.6;25.33;85.25;55;97;297;40.4;6.4;1.05;4783.45;5005.56
31.8;22.1;25.28;88.81;64;97;240;82.4;6.4;1.3;5005.56;4628.14
31.4;18;23.72;87.89;53;97;216;186;9.7;2.55;4628.14;4934.4
30.3;20.6;23.88;88.96;59;97;199;66;9.7;1.59;4934.4;4336.8
31.3;20.5;24.89;91.26;65;98;203;94.4;6.4;0.9;4336.8;4700.2
31.4;17.1;24.13;86.03;54;99;295;8.8;9.7;1.51;4700.2;4281.8
30.8;18.2;24.07;90.99;57;99;199;90;8;1.21;4281.8;4874.58
30.9;18.9;23.6;91.26;56;99;218;157.6;6.4;1.35;4874.58;4369.68
30.6;17.7;23.57;92;61;99;221;288.8;9.7;1.65;4369.68;5468.48
29.7;19.4;23.68;92.32;63;99;198;246.8;2.22;0.46;5468.48;4756.32
31.3;20.1;23.92;94.71;65;100;187;323.2;2.22;0.37;4756.32;4609.18
27.6;19.8;21.38;95.86;73;100;104;223.6;2.22;0.76;4609.18;4108.44
29.7;18;23.12;90.68;60;100;238;71.8;1.78;0.42;4108.44;3320.46
30.3;17.8;23.11;88.91;53;100;265;26.8;3.14;0.45;3320.46;4351.05
28.9;16.3;22.89;90.84;56;100;230;93.2;2.69;0.39;4351.05;3841.92
29;18.6;23.58;92.23;66;100;199;125;2.69;0.4;3841.92;4113.72
30.6;18.6;24.22;88.26;59;100;300;16.6;3.14;0.57;4113.72;3824.91
30.9;19.6;25.65;87.86;63;100;347;3.6;2.69;0.55;3824.91;3708.8
31.9;19.4;25.76;84.73;52;100;363;21.8;2.69;0.62;3708.8;3601.8
31.6;20;26.01;85.25;56;100;384;0.4;2.69;0.67;3601.8;4226.218957
31.6;21.6;25.98;88.43;62;100;293;16.2;2.69;0.58;4226.218957;4850.7
31;19.8;25.41;88.19;57;100;329;10.2;3.14;0.59;4850.7;4513.41
32.5;20.8;25.99;87.9;55;100;273;43.32;3.14;0.29;4513.41;4643.24
32.8;21.7;26.12;90.42;59;100;296;141.7;2.22;0.46;4643.24;4802.48
31.9;20.9;24.96;91.73;62;100;263;278.63;2.22;0.47;4802.48;4807.32
32.8;21.1;26.27;86.34;47;100;396;2.78;2.69;0.54;4807.32;4944.06
32.3;20.4;25.73;88.21;60;100;335;31.23;2.69;0.43;4944.06;4694.41
31.8;22.7;26.15;91.57;67;100;264;39.31;2.22;0.41;4694.41;4475.52
32.5;22.1;26.11;91.39;63;100;304;115.16;2.69;0.46;4475.52;4088.16
32.9;21.7;27.02;87.66;59;100;379;10;3.58;0.55;4088.16;4391.12
32.8;22.6;26.28;90.89;60;100;325;37.6;2.69;0.35;4391.12;5682.95
